организовать         Nom: 0.336 , Gen: 0.0   , Dat: 0.00302, Acc: 0.522 , Ins: 0.134 , Loc: 0.0   , 
существовать         Nom: 0.963 , Gen: 0.0   , Dat: 0.0   , Acc: 0.014 , Ins: 0.0   , Loc: 0.0   , 
выполнять            Nom: 0.166 , Gen: 0.0   , Dat: __0.0   , Acc: 0.807 , Ins: 0.0215, Loc: 0.0   , 
разработать          Nom: 0.398 , Gen: 0.0   , Dat: __0.0   , Acc: 0.451 , Ins: 0.145 , Loc: 0.0   , 
рассмотреть          Nom: 0.254 , Gen: 0.0   , Dat: 0.0   , Acc: 0.709 , Ins: 0.0326, Loc: 0.0   , 
обладать             Nom: 0.236 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.757 , Loc: 0.0   , 
поднять              Nom: 0.186 , Gen: 0.0   , Dat: 0.00347, Acc: 0.773 , Ins: 0.034 , Loc: 0.0   , 
использоваться       Nom: 0.871 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.109 , Loc: 0.0   , 
закрыть              Nom: 0.334 , Gen: 0.0   , Dat: 0.00719, Acc: 0.564 , Ins: 0.0908, Loc: 0.0   , 
пользоваться         Nom: 0.254 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0103, Ins: 0.73  , Loc: 0.0   , 
принести             Nom: 0.259 , Gen: 0.0   , Dat: 0.127 , Acc: 0.572 , Ins: 0.0183, Loc: 0.0   , 
внести               Nom: 0.359 , Gen: 0.0   , Dat: 0.00372, Acc: 0.582 , Ins: 0.0496, Loc: 0.0   , 
рассматривать        Nom: 0.184 , Gen: 0.0   , Dat: 0.0   , Acc: 0.795 , Ins: 0.0164, Loc: 0.0   , 
снять                Nom: 0.274 , Gen: 0.0   , Dat: __0.0   , Acc: 0.656 , Ins: 0.063 , Loc: 0.0   , 
считаться            Nom: 0.436 , Gen: 0.0   , Dat: 0.00212, Acc: 0.0183, Ins: 0.539 , Loc: 0.0   , 
предусматривать      Nom: 0.319 , Gen: 0.0   , Dat: 0.0   , Acc: 0.671 , Ins: 0.0   , Loc: 0.0   , 
позволить            Nom: 0.64  , Gen: 0.0   , Dat: 0.293 , Acc: 0.052 , Ins: 0.0   , Loc: 0.0   , 
связать              Nom: 0.763 , Gen: 0.0   , Dat: 0.00311, Acc: 0.0998, Ins: 0.124 , Loc: 0.0   , 
предлагать           Nom: 0.379 , Gen: 0.0   , Dat: 0.202 , Acc: 0.381 , Ins: 0.033 , Loc: 0.0   , 
осуществлять         Nom: 0.172 , Gen: 0.0   , Dat: 0.0   , Acc: 0.768 , Ins: 0.0549, Loc: 0.0   , 
построить            Nom: 0.511 , Gen: 0.0   , Dat: 0.0023, Acc: 0.397 , Ins: 0.0737, Loc: 0.0   , 
служить              Nom: 0.317 , Gen: 0.0   , Dat: 0.0935, Acc: 0.021 , Ins: 0.558 , Loc: 0.0   , 
вырасти              Nom: 0.946 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0212, Loc: 0.0   , 
покинуть             Nom: 0.222 , Gen: 0.0   , Dat: 0.0   , Acc: 0.75  , Ins: 0.0241, Loc: 0.0   , 
потерять             Nom: 0.295 , Gen: 0.0   , Dat: 0.0   , Acc: 0.672 , Ins: 0.0125, Loc: 0.0   , 
содержимый           Nom: 0.291 , Gen: 0.0   , Dat: 0.0   , Acc: 0.696 , Ins: 0.0   , Loc: 0.0   , 
проводиться          Nom: 0.895 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0227, Ins: 0.0724, Loc: 0.0   , 
нести                Nom: 0.268 , Gen: 0.0   , Dat: 0.0156, Acc: 0.694 , Ins: 0.015 , Loc: 0.0   , 
продолжить           Nom: 0.299 , Gen: 0.0   , Dat: 0.0   , Acc: 0.672 , Ins: 0.0264, Loc: 0.0   , 
позволять            Nom: 0.672 , Gen: 0.0   , Dat: 0.273 , Acc: 0.0365, Ins: 0.0108, Loc: 0.0   , 
искать               Nom: 0.151 , Gen: --0.117 , Dat: 0.00407, Acc: 0.706 , Ins: 0.0211, Loc: 0.0   , 
поддержать           Nom: 0.292 , Gen: 0.0   , Dat: 0.0   , Acc: 0.637 , Ins: 0.0676, Loc: 0.0   , 
оказать              Nom: 0.241 , Gen: 0.0   , Dat: 0.0854, Acc: 0.655 , Ins: 0.016 , Loc: 0.0   , 
состоять             Nom: 0.923 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0571, Loc: 0.0   , 
происходить          Nom: 0.919 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0258, Ins: 0.037 , Loc: 0.0   , 
подать               Nom: 0.321 , Gen: 0.0   , Dat: 0.0305, Acc: 0.59  , Ins: 0.0506, Loc: 0.0   , 
завершить            Nom: 0.377 , Gen: 0.0   , Dat: 0.0   , Acc: 0.567 , Ins: 0.054 , Loc: 0.0   , 
предоставлять        Nom: 0.136 , Gen: 0.0   , Dat: 0.212 , Acc: 0.608 , Ins: 0.0407, Loc: 0.0   , 
соответствовать      Nom: 0.307 , Gen: 0.0   , Dat: 0.679 , Acc: 0.0   , Ins: 0.0   , Loc: 0.0   , 
выпустить            Nom: 0.411 , Gen: 0.0   , Dat: 0.0   , Acc: 0.454 , Ins: 0.114 , Loc: 0.0   , 
показывать           Nom: 0.461 , Gen: 0.0   , Dat: 0.0456, Acc: 0.44  , Ins: 0.0457, Loc: 0.0   , 
положить             Nom: 0.158 , Gen: 0.0   , Dat: 0.171 , Acc: 0.644 , Ins: 0.0201, Loc: 0.0   , 
просить              Nom: 0.319 , Gen: 0.141 , Dat: --0.00361, Acc: 0.527 , Ins: __0.0   , Loc: 0.0   , 
напоминать           Nom: 0.433 , Gen: 0.0   , Dat: 0.0271, Acc: 0.501 , Ins: 0.0348, Loc: 0.0   , 
нанести              Nom: 0.266 , Gen: 0.0   , Dat: 0.178 , Acc: 0.486 , Ins: 0.0665, Loc: 0.0   , 
жить                 Nom: 0.724 , Gen: 0.0   , Dat: 0.00789, Acc: 0.0892, Ins: 0.154 , Loc: 0.0   , 
определить           Nom: 0.353 , Gen: 0.0   , Dat: 0.00525, Acc: 0.535 , Ins: 0.0984, Loc: 0.0   , 
