стать                Nom: 0.418 , Gen: 0.0   , Dat: 0.00528, Acc: 0.0   , Ins: 0.567 , Loc: 0.0   , 
являться             Nom: 0.421 , Gen: 0.0   , Dat: __0.0   , Acc: 0.0   , Ins: 0.571 , Loc: 0.0   , 
иметь                Nom: 0.293 , Gen: 0.0   , Dat: 0.0   , Acc: 0.688 , Ins: 0.0129, Loc: 0.0   , 
мочь                 Nom: 0.935 , Gen: 0.0   , Dat: --0.00386, Acc: 0.0   , Ins: --0.0447, Loc: 0.0   , 
получить             Nom: 0.255 , Gen: 0.0   , Dat: 0.0   , Acc: 0.705 , Ins: 0.0266, Loc: 0.0   , 
быть                 Nom: 0.96  , Gen: 0.0   , Dat: 0.00612, Acc: 0.0   , Ins: __0.0   , Loc: 0.0   , 
принять              Nom: 0.332 , Gen: 0.0   , Dat: 0.0   , Acc: 0.606 , Ins: 0.0555, Loc: 0.0   , 
сделать              Nom: 0.265 , Gen: 0.0   , Dat: 0.0162, Acc: 0.613 , Ins: 0.0997, Loc: 0.0   , 
провести             Nom: 0.315 , Gen: 0.0   , Dat: 0.00203, Acc: 0.587 , Ins: 0.0894, Loc: 0.0   , 
составлять           Nom: 0.779 , Gen: 0.0685, Dat: __0.0   , Acc: 0.143 , Ins: 0.0   , Loc: 0.0   , 
заявить              Nom: 0.908 , Gen: 0.0   , Dat: 0.0553, Acc: 0.0133, Ins: 0.0219, Loc: 0.0   , 
нет                  Nom: 0.0283, Gen: 0.949 , Dat: 0.0127, Acc: 0.0   , Ins: 0.0   , Loc: 0.0   , 
дать                 Nom: 0.229 , Gen: 0.0   , Dat: 0.157 , Acc: 0.575 , Ins: 0.0215, Loc: 0.0   , 
считать              Nom: 0.483 , Gen: 0.0   , Dat: 0.0   , Acc: 0.25  , Ins: 0.263 , Loc: 0.0   , 
начать               Nom: 0.515 , Gen: 0.0   , Dat: 0.0   , Acc: 0.444 , Ins: 0.0352, Loc: 0.0   , 
сообщить             Nom: 0.813 , Gen: 0.0   , Dat: 0.136 , Acc: 0.0353, Ins: 0.0144, Loc: 0.0   , 
назвать              Nom: 0.269 , Gen: 0.0   , Dat: 0.00237, Acc: 0.385 , Ins: 0.342 , Loc: 0.0   , 
составить            Nom: 0.675 , Gen: 0.177 , Dat: 0.0022, Acc: 0.117 , Ins: 0.0267, Loc: 0.0   , 
представить          Nom: 0.369 , Gen: 0.0   , Dat: 0.0795, Acc: 0.439 , Ins: 0.107 , Loc: 0.0   , 
использовать         Nom: 0.212 , Gen: 0.0   , Dat: 0.0   , Acc: 0.75  , Ins: 0.0306, Loc: 0.0   , 
находиться           Nom: 0.937 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0269, Ins: 0.0113, Loc: 0.0   , 
представлять         Nom: 0.308 , Gen: 0.0   , Dat: 0.0162, Acc: 0.656 , Ins: 0.0153, Loc: 0.0   , 
создать              Nom: 0.384 , Gen: 0.0   , Dat: 0.00381, Acc: 0.518 , Ins: 0.0867, Loc: 0.0   , 
идти                 Nom: 0.9   , Gen: 0.0   , Dat: 0.00612, Acc: 0.0233, Ins: 0.0643, Loc: 0.0   , 
касаться             Nom: 0.0894, Gen: 0.896 , Dat: 0.0   , Acc: 0.0   , Ins: 0.0115, Loc: 0.0   , 
заниматься           Nom: 0.182 , Gen: 0.0   , Dat: 0.0   , Acc: 0.014 , Ins: 0.799 , Loc: 0.0   , 
принимать            Nom: 0.182 , Gen: 0.0   , Dat: 0.0   , Acc: 0.79  , Ins: 0.0218, Loc: 0.0   , 
найти                Nom: 0.236 , Gen: 0.0   , Dat: 0.00666, Acc: 0.727 , Ins: 0.0206, Loc: 0.0   , 
оказаться            Nom: 0.757 , Gen: 0.0   , Dat: 0.00318, Acc: 0.0   , Ins: 0.213 , Loc: 0.0   , 
взять                Nom: 0.246 , Gen: 0.0   , Dat: __0.0   , Acc: 0.693 , Ins: 0.0474, Loc: 0.0   , 
пройти               Nom: 0.715 , Gen: 0.0   , Dat: 0.0   , Acc: 0.233 , Ins: 0.0392, Loc: 0.0   , 
