одобрить             Nom: 0.395 , Gen: 0.0   , Dat: 0.0   , Acc: 0.492 , Ins: 0.109 , Loc: 0.0   , 
действовать          Nom: 0.899 , Gen: 0.0   , Dat: 0.0042, Acc: ??0.0208, Ins: 0.0633, Loc: 0.0   , 
запретить            Nom: 0.447 , Gen: 0.0   , Dat: 0.198 , Acc: 0.277 , Ins: 0.0744, Loc: 0.0   , 
заключить            Nom: 0.43  , Gen: 0.0   , Dat: 0.0   , Acc: 0.52  , Ins: 0.0386, Loc: 0.0   , 
учитывать            Nom: 0.0735, Gen: 0.0   , Dat: 0.0   , Acc: 0.904 , Ins: --0.0177, Loc: 0.0   , 
пытаться             Nom: 0.845 , Gen: 0.0   , Dat: --0.00378, Acc: 0.0579, Ins: --0.0883, Loc: 0.0   , 
лежать               Nom: 0.898 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0224, Ins: 0.0638, Loc: 0.0   , 
отправить            Nom: 0.318 , Gen: 0.0   , Dat: 0.0571, Acc: 0.535 , Ins: 0.0792, Loc: 0.0   , 
заметить             Nom: 0.428 , Gen: 0.0   , Dat: 0.00311, Acc: 0.498 , Ins: 0.0634, Loc: 0.0   , 
попросить            Nom: 0.389 , Gen: 0.193 , Dat: 0.0   , Acc: 0.398 , Ins: 0.0179, Loc: 0.0   , 
любить               Nom: 0.35  , Gen: 0.0   , Dat: 0.0   , Acc: 0.591 , Ins: 0.0505, Loc: 0.0   , 
убить                Nom: 0.384 , Gen: 0.0   , Dat: 0.0   , Acc: 0.391 , Ins: 0.209 , Loc: 0.0   , 
окончить             Nom: 0.0866, Gen: 0.0   , Dat: 0.0   , Acc: 0.879 , Ins: 0.02  , Loc: 0.0   , 
определять           Nom: 0.248 , Gen: 0.0   , Dat: 0.00212, Acc: 0.694 , Ins: 0.0486, Loc: 0.0   , 
привлечь             Nom: 0.289 , Gen: 0.0   , Dat: 0.0   , Acc: 0.634 , Ins: 0.0513, Loc: 0.0   , 
предполагать         Nom: 0.512 , Gen: 0.0   , Dat: 0.0   , Acc: 0.469 , Ins: 0.0125, Loc: 0.0   , 
вестись              Nom: 0.924 , Gen: 0.0   , Dat: 0.0   , Acc: ??0.0102, Ins: 0.06  , Loc: 0.0   , 
вернуть              Nom: 0.115 , Gen: 0.0   , Dat: 0.124 , Acc: 0.725 , Ins: 0.0243, Loc: 0.0   , 
ставить              Nom: 0.22  , Gen: 0.0   , Dat: 0.021 , Acc: 0.692 , Ins: 0.0602, Loc: 0.0   , 
бросить              Nom: 0.182 , Gen: 0.0   , Dat: 0.0384, Acc: 0.733 , Ins: 0.0406, Loc: 0.0   , 
захватить            Nom: 0.303 , Gen: 0.0   , Dat: 0.0   , Acc: 0.517 , Ins: 0.171 , Loc: 0.0   , 
выиграть             Nom: 0.274 , Gen: 0.0   , Dat: 0.0   , Acc: 0.688 , Ins: 0.0279, Loc: 0.0   , 
потребовать          Nom: 0.464 , Gen: 0.45  , Dat: 0.0   , Acc: 0.0758, Ins: 0.0   , Loc: 0.0   , 
помогать             Nom: 0.476 , Gen: 0.0   , Dat: 0.463 , Acc: 0.0147, Ins: 0.0434, Loc: 0.0   , 
следовать            Nom: 0.343 , Gen: 0.0   , Dat: 0.576 , Acc: 0.0142, Ins: 0.0593, Loc: 0.0   , 
расти                Nom: 0.892 , Gen: 0.0   , Dat: 0.00287, Acc: 0.0333, Ins: 0.0656, Loc: 0.0   , 
услышать             Nom: 0.113 , Gen: 0.0   , Dat: 0.0   , Acc: 0.867 , Ins: 0.0158, Loc: 0.0   , 
образовать           Nom: 0.464 , Gen: 0.0   , Dat: 0.0   , Acc: 0.435 , Ins: 0.0927, Loc: 0.0   , 
произвести           Nom: 0.414 , Gen: 0.0   , Dat: 0.00332, Acc: 0.48  , Ins: 0.0739, Loc: 0.0   , 
отменить             Nom: 0.395 , Gen: 0.0   , Dat: 0.00259, Acc: 0.569 , Ins: 0.0297, Loc: 0.0   , 
возглавлять          Nom: 0.207 , Gen: 0.0   , Dat: 0.0   , Acc: 0.678 , Ins: --0.111 , Loc: 0.0   , 
выделить             Nom: 0.362 , Gen: --0.0943, Dat: 0.0831, Acc: 0.379 , Ins: 0.0791, Loc: 0.0   , 
призывать            Nom: 0.319 , Gen: 0.0   , Dat: --0.00308, Acc: 0.66  , Ins: 0.0121, Loc: 0.0   , 
вынести              Nom: 0.396 , Gen: 0.0   , Dat: 0.0473, Acc: 0.487 , Ins: --0.0635, Loc: 0.0   , 
заключаться          Nom: 0.979 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0122, Loc: 0.0   , 
готовить             Nom: 0.216 , Gen: 0.0   , Dat: 0.00993, Acc: 0.756 , Ins: 0.0141, Loc: 0.0   , 
удаться              Nom: 0.09  , Gen: 0.0   , Dat: 0.808 , Acc: 0.0293, Ins: --0.066 , Loc: 0.0   , 
испытывать           Nom: 0.212 , Gen: 0.0   , Dat: 0.0   , Acc: 0.768 , Ins: 0.0156, Loc: 0.0   , 
обсудить             Nom: 0.252 , Gen: 0.0   , Dat: 0.0   , Acc: 0.732 , Ins: 0.0132, Loc: 0.0   , 
закончиться          Nom: 0.745 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.248 , Loc: 0.0   , 
